unit,cycle,setting_1,setting_2,setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
5,75,0.0008,-0.0004,100.0,518.67,642.68,1591.23,1412.91,14.62,21.61,553.4,2388.07,9054.03,1.3,47.6,521.69,2388.11,8127.1,8.4466,0.03,393,2388,100.0,38.88,23.3048
5,76,0.003,-0.0003,100.0,518.67,642.02,1587.58,1410.89,14.62,21.61,553.04,2388.12,9052.97,1.3,47.63,521.46,2388.11,8132.55,8.4374,0.03,393,2388,100.0,38.67,23.2667
5,77,-0.0007,0.0003,100.0,518.67,642.55,1586.27,1405.68,14.62,21.61,554.1,2388.18,9045.89,1.3,47.68,521.69,2388.13,8130.66,8.474,0.03,392,2388,100.0,38.89,23.3508
5,78,-0.0024,-0.0004,100.0,518.67,642.4,1588.24,1408.74,14.62,21.61,552.78,2388.09,9043.09,1.3,47.58,521.62,2388.14,8129.95,8.4237,0.03,392,2388,100.0,38.97,23.1936
5,79,0.0019,-0.0002,100.0,518.67,642.54,1592.13,1409.09,14.62,21.61,552.45,2388.12,9049.56,1.3,47.73,521.41,2388.09,8133.19,8.4206,0.03,394,2388,100.0,38.98,23.2934
5,80,0.0062,0.0001,100.0,518.67,642.75,1596.86,1403.07,14.62,21.61,553.42,2388.14,9050.38,1.3,47.47,522.17,2388.06,8131.35,8.4119,0.03,394,2388,100.0,38.85,23.2315
5,81,0.0002,0.0001,100.0,518.67,642.24,1586.6,1416.88,14.62,21.61,552.91,2388.14,9048.38,1.3,47.5,521.47,2388.12,8127.65,8.4414,0.03,392,2388,100.0,38.66,23.226
5,82,0.0001,-0.0002,100.0,518.67,642.75,1586.81,1407.28,14.62,21.61,553.58,2388.13,9058.6,1.3,47.58,521.37,2388.11,8129.8,8.45,0.03,392,2388,100.0,38.8,23.3433
5,83,0.0052,-0.0001,100.0,518.67,642.35,1594.76,1409.45,14.62,21.61,553.31,2388.12,9053.12,1.3,47.68,521.23,2388.1,8132.93,8.4361,0.03,392,2388,100.0,38.78,23.3046
5,84,-0.0001,-0.0001,100.0,518.67,642.3,1590.15,1411.01,14.62,21.61,553.8,2388.14,9056.89,1.3,47.41,521.1,2388.13,8130.25,8.4543,0.03,394,2388,100.0,38.88,23.1476
5,85,0.0014,-0.0005,100.0,518.67,642.34,1588.8,1413.99,14.62,21.61,554.04,2388.12,9056.48,1.3,47.57,521.43,2388.14,8136.31,8.4333,0.03,395,2388,100.0,38.95,23.2643
5,86,-0.0022,-0.0001,100.0,518.67,642.67,1596.15,1405.24,14.62,21.61,553.53,2388.08,9047.17,1.3,47.66,522.1,2388.09,8131.07,8.4029,0.03,392,2388,100.0,38.78,23.2923
5,87,-0.0005,0.0005,100.0,518.67,642.89,1596.18,1407.59,14.62,21.61,552.92,2388.13,9059.29,1.3,47.72,521.2,2388.16,8132.77,8.4878,0.03,394,2388,100.0,38.88,23.2643
5,88,0.0009,-0.0003,100.0,518.67,643.22,1588.13,1409.51,14.62,21.61,553.08,2388.08,9052.91,1.3,47.45,520.9,2388.12,8129.14,8.438,0.03,393,2388,100.0,38.75,23.2066
5,89,-0.0009,-0.0004,100.0,518.67,642.7,1592.55,1408.93,14.62,21.61,553.54,2388.1,9053.85,1.3,47.44,521.13,2388.09,8138.98,8.4675,0.03,393,2388,100.0,38.74,23.1726
5,90,-0.0016,-0.0004,100.0,518.67,642.6,1586.65,1414.15,14.62,21.61,553.9,2388.09,9051.08,1.3,47.5,521.26,2388.11,8133.43,8.458,0.03,395,2388,100.0,38.76,23.2247
5,91,0.0016,0.0,100.0,518.67,642.6,1593.15,1402.77,14.62,21.61,553.21,2388.13,9052.88,1.3,47.59,521.13,2388.06,8127.95,8.472,0.03,393,2388,100.0,38.64,23.2456
5,92,0.0016,0.0,100.0,518.67,642.94,1587.08,1408.19,14.62,21.61,553.9,2388.14,9044.76,1.3,47.52,521.48,2388.14,8130.84,8.462,0.03,393,2388,100.0,38.75,23.237
5,93,0.0022,-0.0002,100.0,518.67,642.87,1585.55,1405.57,14.62,21.61,553.96,2388.13,9049.76,1.3,47.6,520.84,2388.16,8128.25,8.4772,0.03,394,2388,100.0,38.8,23.2409
5,94,0.0016,0.0,100.0,518.67,642.91,1592.41,1406.52,14.62,21.61,553.41,2388.19,9054.39,1.3,47.41,521.14,2388.15,8128.34,8.4377,0.03,393,2388,100.0,38.87,23.1585
5,95,0.0024,0.0005,100.0,518.67,642.9,1589.97,1408.78,14.62,21.61,552.53,2388.1,9047.83,1.3,47.66,520.74,2388.15,8129.61,8.439,0.03,393,2388,100.0,38.9,23.3577
5,96,0.0012,-0.0002,100.0,518.67,642.71,1592.44,1409.13,14.62,21.61,553.68,2388.12,9054.14,1.3,47.75,520.98,2388.12,8129.47,8.4485,0.03,393,2388,100.0,38.85,23.2262
5,97,-0.0035,-0.0,100.0,518.67,642.72,1593.08,1415.19,14.62,21.61,552.88,2388.1,9056.3,1.3,47.4,521.45,2388.1,8130.83,8.4217,0.03,394,2388,100.0,38.68,23.3016
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.1,9053.99,1.3,47.46,521.0,2388.15,8125.74,8.4362,0.03,394,2388,100.0,38.75,23.4117
